City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,laguna,38.421,-121.4238,10.65,90,0,1.54,US,1708097699
158,san ignacio de velasco,-16.3667,-60.95,34.03,43,85,2.9,BO,1708097699
159,salalah,17.0151,54.0924,26.05,69,40,3.09,OM,1708097699
160,sretensk,52.2453,117.7093,-15.63,99,100,0.77,RU,1708097699
161,constantia,44.1833,28.65,4.38,80,36,6.7,RO,1708097645
162,nabire,-3.3667,135.4833,24.99,87,100,1.2,ID,1708097700
163,utrik,11.2278,169.8474,25.55,82,87,10.56,MH,1708097700
164,tevriz,57.509,72.4042,-19.8,94,99,3.5,RU,1708097700
165,pisco,-13.7,-76.2167,26.12,78,0,3.6,PE,1708097666
166,burabay,53.0838,70.3138,-27.4,99,42,3.04,KZ,1708097700
167,udachny,66.4167,112.4,-35.06,99,100,2.41,RU,1708097700
168,kyshtovka,56.555,76.6271,-19.89,95,100,3.91,RU,1708097700
169,guerrero negro,27.9769,-114.0611,15.28,77,0,2.07,MX,1708097546
170,new norfolk,-42.7826,147.0587,15.72,97,65,1.28,AU,1708097701
171,veinticinco de mayo,-35.4323,-60.1727,27.21,53,0,3.58,AR,1708097701
172,namibe,-15.1961,12.1522,25.16,77,65,4.67,AO,1708097701
173,gebeit,21.0667,36.3167,19.76,16,0,3.19,SD,1708097701
174,pingliang,35.5392,106.6861,4.71,54,0,1.92,CN,1708097702
175,egilsstadir,65.2653,-14.3948,-6.05,93,0,1.54,IS,1708097702
176,tura,25.5198,90.2201,17.8,47,0,1.22,IN,1708097702
177,tulun,54.5611,100.5792,-22.36,88,100,4.56,RU,1708097702
178,ribeira grande,38.5167,-28.7,18.22,94,75,7.6,PT,1708097702
179,maua,-23.6678,-46.4614,23.7,79,87,2.77,BR,1708097705
180,saint-philippe,-21.3585,55.7679,28.77,89,79,6.02,RE,1708097705
181,dudinka,69.4058,86.1778,-30.74,91,20,3.58,RU,1708097706
182,alofi,-19.0595,-169.9187,25.94,83,40,4.63,NU,1708097706
183,kudahuvadhoo,2.6708,72.8944,28.02,81,100,6.56,MV,1708097706
184,griffith,41.5284,-87.4237,-1.61,81,100,3.09,US,1708097706
185,madera,37.1666,-119.8343,10.6,89,100,1.25,US,1708097706
186,nova sintra,14.8667,-24.7167,20.71,78,15,11.29,CV,1708097706
187,posto fiscal rolim de moura,-13.0833,-62.2667,34.77,48,86,0.62,BR,1708097706
188,ouadda,8.0777,22.4007,35.01,12,62,2.59,CF,1708097707
189,alo,7.4178,6.7371,39.36,10,78,2.15,NG,1708097707
190,kodiak,57.79,-152.4072,3.73,87,100,9.77,US,1708097707
191,pucon,-39.2822,-71.9543,24.27,48,1,1.71,CL,1708097707
192,olonkinbyen,70.9221,-8.7187,-5.57,62,31,8.91,SJ,1708097707
193,lebu,-37.6167,-73.65,18.33,66,4,2.4,CL,1708097707
194,song cau,13.45,109.2167,21.19,91,38,3.47,VN,1708097707
195,cabo san lucas,22.8909,-109.9124,19.73,77,20,1.54,MX,1708097602
196,piti village,13.4626,144.6933,26.49,87,100,2.06,GU,1708097708
197,qamdo,31.1667,97.2333,-5.5,25,0,2.69,CN,1708097708
198,verkh-chebula,56.0308,87.6218,-23.06,93,100,5.89,RU,1708097708
199,yemetsk,63.4721,41.7941,-10.38,95,100,3.57,RU,1708097708
200,kisangani,0.5167,25.2,34.2,55,20,3.09,CD,1708097708
201,codrington,-38.2667,141.9667,12.03,92,18,2.9,AU,1708097708
202,jean-rabel,19.8533,-73.1917,27.82,59,10,3.29,HT,1708097708
203,cill airne,52.05,-9.5167,14.03,82,75,4.12,IE,1708097709
204,ust-nera,64.5667,143.2,-41.89,100,81,0.48,RU,1708097709
205,ust-tsilma,65.441,52.1498,-20.22,92,4,2.24,RU,1708097709
206,isafjordur,66.0755,-23.124,-8.98,62,0,1.03,IS,1708097709
207,nushki,29.5542,66.0215,18.53,17,4,2.26,PK,1708097709
208,tarawa,1.419,172.984,29.05,84,20,4.12,KI,1708097709
209,kavaratti,10.5669,72.642,28.12,72,98,2.46,IN,1708097710
210,shijiang,27.0819,110.7933,10.51,83,87,0.4,CN,1708097710
211,invercargill,-46.4,168.35,11.68,92,42,1.79,NZ,1708097710
212,comodoro rivadavia,-45.8667,-67.5,18.92,68,20,4.12,AR,1708097461
213,fisterra,42.9049,-9.2629,17.08,88,85,5.74,ES,1708097710
214,gagnoa,6.1293,-5.9437,37.26,27,76,0.81,CI,1708097710
215,colchani,-20.3,-66.9333,13.93,59,100,3.99,BO,1708097710
216,al bardiyah,31.7561,25.0865,14.62,67,7,7.26,LY,1708097710
217,kone,-21.0595,164.8658,24.33,86,4,2.55,NC,1708097711
218,kochubey,44.3861,46.5825,-0.13,94,100,9.5,RU,1708097711
219,tabou,4.423,-7.3528,30.76,67,97,5.78,CI,1708097711
220,cambria,35.5641,-121.0808,14.43,97,100,1.34,US,1708097711
221,lerwick,60.1545,-1.1494,7.0,68,48,7.18,GB,1708097711
222,saint-francois,46.4154,3.9054,12.03,88,100,2.06,FR,1708097711
223,kobylka,52.3395,21.1959,12.26,57,43,4.96,PL,1708097712
224,dryden,49.7833,-92.7503,-18.84,71,100,3.09,CA,1708097712
225,nyurba,63.2842,118.3319,-34.39,94,98,3.64,RU,1708097712
226,mil'kovo,55.6078,37.7956,-6.98,96,98,3.03,RU,1708097712
227,fort mcmurray,56.7268,-111.381,-10.23,67,0,2.57,CA,1708097437
228,severo-yeniseyskiy,60.3725,93.0408,-35.79,100,94,1.34,RU,1708097713
229,montevallo,33.1007,-86.8642,16.74,70,100,0.89,US,1708097713
230,painesville,41.7245,-81.2457,0.38,61,75,3.09,US,1708097713
231,visakhapatnam,17.69,83.2093,22.94,100,0,1.03,IN,1708097424
232,dunedin,-45.8742,170.5036,15.45,69,47,1.34,NZ,1708097713
233,yelizovo,53.1873,158.3805,-14.92,38,40,5.0,RU,1708097713
234,west island,-12.1568,96.8225,26.99,83,100,5.66,CC,1708097714
235,colby,39.3958,-101.0524,-5.51,89,100,6.26,US,1708097714
236,palikir - national government center,6.9248,158.1611,27.41,69,75,2.57,FM,1708097714
237,iskateley,67.6803,53.1512,-21.66,88,3,4.02,RU,1708097714
238,brookings,44.3114,-96.7984,-9.0,86,100,3.09,US,1708097500
239,machina,13.1364,10.0492,31.02,11,12,5.74,NG,1708097715
240,camarinas,43.1311,-9.1817,17.18,84,77,5.32,ES,1708097715
241,maun,-19.9833,23.4167,37.98,25,0,5.66,BW,1708097715
242,kangding,30.0513,101.9603,2.87,47,1,3.72,CN,1708097715
243,paita,-5.0892,-81.1144,28.07,68,67,4.88,PE,1708097715
